"filename", "language", "Python", "Objective-C", "Markdown", "comment", "blank", "total"
"c:\source\CAEA-Assignment-2\Main.m", "Objective-C", 0, 249, 0, 0, 62, 311
"c:\source\CAEA-Assignment-2\README.md", "Markdown", 0, 0, 20, 0, 13, 33
"c:\source\CAEA-Assignment-2\generate_cutting_tool_data.m", "Objective-C", 0, 204, 0, 0, 51, 255
"c:\source\CAEA-Assignment-2\python_gui\mesh_app\data\exporter.py", "Python", 90, 0, 0, 5, 18, 113
"c:\source\CAEA-Assignment-2\python_gui\mesh_app\geometry\__init__.py", "Python", 2, 0, 0, 0, 0, 2
"c:\source\CAEA-Assignment-2\python_gui\mesh_app\geometry\components\__init__.py", "Python", 3, 0, 0, 0, 0, 3
"c:\source\CAEA-Assignment-2\python_gui\mesh_app\geometry\components\mesh_generator.py", "Python", 80, 0, 0, 20, 28, 128
"c:\source\CAEA-Assignment-2\python_gui\mesh_app\geometry\components\subdivision.py", "Python", 33, 0, 0, 24, 16, 73
"c:\source\CAEA-Assignment-2\python_gui\mesh_app\geometry\components\types.py", "Python", 40, 0, 0, 9, 15, 64
"c:\source\CAEA-Assignment-2\python_gui\mesh_app\geometry\manager.py", "Python", 87, 0, 0, 18, 26, 131
"c:\source\CAEA-Assignment-2\python_gui\mesh_app\gui\components\__init__.py", "Python", 4, 0, 0, 0, 0, 4
"c:\source\CAEA-Assignment-2\python_gui\mesh_app\gui\components\force_dialog.py", "Python", 40, 0, 0, 0, 11, 51
"c:\source\CAEA-Assignment-2\python_gui\mesh_app\gui\components\mesh_dropdown.py", "Python", 15, 0, 0, 3, 7, 25
"c:\source\CAEA-Assignment-2\python_gui\mesh_app\gui\components\properties_textbox.py", "Python", 39, 0, 0, 9, 18, 66
"c:\source\CAEA-Assignment-2\python_gui\mesh_app\gui\components\thermal_bc_dialog.py", "Python", 63, 0, 0, 0, 15, 78
"c:\source\CAEA-Assignment-2\python_gui\mesh_app\gui\components\viewport.py", "Python", 353, 0, 0, 27, 85, 465
"c:\source\CAEA-Assignment-2\python_gui\mesh_app\gui\manager.py", "Python", 58, 0, 0, 10, 19, 87
"c:\source\CAEA-Assignment-2\python_gui\mesh_app\main.py", "Python", 8, 0, 0, 1, 5, 14
"c:\source\CAEA-Assignment-2\python_gui\visualisation_app\displacement_window.py", "Python", 33, 0, 0, 4, 12, 49
"c:\source\CAEA-Assignment-2\python_gui\visualisation_app\gui.py", "Python", 63, 0, 0, 23, 33, 119
"c:\source\CAEA-Assignment-2\python_gui\visualisation_app\main.py", "Python", 6, 0, 0, 0, 3, 9
"c:\source\CAEA-Assignment-2\python_gui\visualisation_app\strain_window.py", "Python", 45, 0, 0, 1, 10, 56
"c:\source\CAEA-Assignment-2\python_gui\visualisation_app\stress_window.py", "Python", 45, 0, 0, 1, 10, 56
"c:\source\CAEA-Assignment-2\python_gui\visualisation_app\temp_window.py", "Python", 35, 0, 0, 4, 13, 52
"Total", "-", 1142, 453, 20, 159, 470, 2244